id,row,col,disease,drug,label,score
33032,167,106,D210050,DB00332,1,0.0282009226597308
59092,248,189,D300232,DB00490,1,0.0318020793037918
59902,119,192,D168100,DB00494,1,0.895759749577023
109816,266,351,D600496,DB00839,1,0.957505311757567
94613,87,303,D147530,DB00721,1,0.101944433845435
148785,110,476,D164230,DB01104,1,0.782328879637821
81562,182,261,D223350,DB00635,1,0.0272023809715379
3915,159,13,D206200,DB00126,1,0.0022241152924859
75382,262,241,D600082,DB00590,1,0.113753463725381
66863,194,214,D236000,DB00541,1,0.944655729120007
32590,38,105,D125853,DB00331,1,0.926253196491213
40507,130,130,D178600,DB00374,1,0.0251033206743132
130948,114,419,D166300,DB00988,1,0.00654751997565047
77675,51,249,D133690,DB00605,1,0.00687684317124762
81622,242,261,D276300,DB00635,1,0.0397331736472602
32692,140,105,D184700,DB00331,1,6.57197391328468e-05
165754,177,530,D217150,DB01219,1,0.00526327323446544
71507,143,229,D188050,DB00569,1,0.0665345898136101
81645,265,261,D600351,DB00635,1,0.0255938792265317
130755,234,418,D267730,DB00987,1,0.1043550704166
164434,109,526,D161900,DB01210,1,0.060093702237279
169115,95,541,D152700,DB01234,1,0.0682292738365787
86081,6,276,D103780,DB00659,1,0.000128270328193206
119590,24,383,D115000,DB00908,1,0.0626483771347952
91504,108,293,D160750,DB00697,1,0.0371484918104929
23012,163,74,D208550,DB00277,1,0.932597767776395
20681,23,67,D114580,DB00257,1,0.825621516952623
128956,313,412,D608622,DB00968,1,0.884319206352439
144619,13,463,D109100,DB01072,1,0.0421828473905056
95611,146,306,D189800,DB00727,1,0.00192905529586456
54615,153,175,D192200,DB00464,1,0.000481169370336921
32290,51,104,D133690,DB00328,1,0.0196052482430512
25945,279,83,D601682,DB00287,1,0.953391398120467
139748,150,447,D191390,DB01033,1,0.0176306412619524
155318,70,497,D143465,DB01156,1,0.00539805872952341
1011,72,4,D143880,DB00017,1,0.000868375752458292
58327,109,187,D161900,DB00484,1,0.0536324500920198
90879,109,291,D161900,DB00695,1,0.939999446891546
57612,20,185,D114480,DB00481,1,0.0103425391005637
169136,116,541,D166760,DB01234,1,0.0137297322376227
78581,18,252,D110100,DB00612,1,0.0997587663604206
55030,255,176,D308205,DB00465,1,0.00417503981525131
162935,175,521,D215140,DB01197,1,0.0695917544758612
163687,301,523,D607628,DB01202,1,0.966776420311604
126539,87,405,D147530,DB00956,1,0.0555517551964326
75924,178,243,D217200,DB00593,1,0.0581921929790442
175273,306,560,D607850,DB01296,1,0.970116427480962
153846,163,492,D208550,DB01137,1,0.0766037767612137
185585,289,593,D605839,DB06287,1,0.719894953736638
70961,223,227,D259500,DB00563,1,0.0716902327826958
104019,103,333,D157300,DB00788,1,0.0086127706011249
96044,266,307,D600496,DB00731,1,0.966278038996002
165674,97,530,D154276,DB01219,1,0.0231745851149102
14820,109,48,D161900,DB00214,1,0.918878008028528
32818,266,105,D600496,DB00331,1,0.924461816586776
104003,87,333,D147530,DB00788,1,0.063643381086895
84107,223,269,D259500,DB00650,1,0.00199652576296327
165870,293,530,D607225,DB01219,1,0.0199615281194933
150553,313,481,D608622,DB01115,1,0.944016121726988
125193,306,400,D607850,DB00945,1,0.931667420945634
106595,175,341,D215140,DB00808,1,0.0852872088096268
153174,117,490,D167320,DB01133,1,0.0365151283636526
134126,162,429,D208300,DB00999,1,0.102945846287669
113557,251,363,D303110,DB00865,1,0.915183281634675
175080,113,560,D165720,DB01296,1,0.970418943787915
147423,313,471,D608622,DB01088,1,0.807982049316214
52863,279,169,D601682,DB00449,1,0.949550842346689
58030,125,186,D175100,DB00482,1,0.0112484539281019
14825,114,48,D166300,DB00214,1,0.0277293567007649
168182,101,538,D156000,DB01231,1,0.000437401818146888
9222,145,30,D189600,DB00181,1,0.0178825772962643
7001,115,23,D166710,DB00169,1,0.0253356730611547
75229,109,241,D161900,DB00590,1,0.0769195728082289
92384,49,296,D133239,DB00707,1,0.00115799752292579
74503,9,239,D106400,DB00586,1,0.000319920797741064
45361,289,145,D605839,DB00398,1,0.108520715870759
77711,87,249,D147530,DB00605,1,0.0456579164369534
14794,83,48,D146255,DB00214,1,0.0149607141752478
133112,87,426,D147530,DB00996,1,0.0113031738570292
89166,274,285,D601367,DB00682,1,0.846328108679605
79118,242,253,D276300,DB00619,1,0.0367253118013087
901,275,3,D601518,DB00014,1,0.110767515077929
118690,63,380,D137760,DB00905,1,0.973318790560892
164701,63,527,D137760,DB01214,1,0.923190079141667
53115,218,170,D255900,DB00451,1,0.0454997929063016
19542,136,63,D181500,DB00246,1,0.109220662048066
121860,103,390,D157300,DB00924,1,0.0473298338817099
75433,313,241,D608622,DB00590,1,0.0729221859380638
41481,165,133,D208750,DB00380,1,0.0205422757031224
107839,167,345,D210050,DB00816,1,0.0490103395876626
112673,306,360,D607850,DB00861,1,0.952320846019421
18234,80,59,D145590,DB00241,1,0.00783094987404723
91715,6,294,D103780,DB00704,1,0.00477701370211265
161617,109,517,D161900,DB01193,1,0.882847687564397
91186,103,292,D157300,DB00696,1,0.0321977221473247
121008,190,387,D231090,DB00917,1,9.06608785942638e-05
87117,103,279,D157300,DB00669,1,0.149690292587303
106059,265,339,D600351,DB00804,1,0.00013523782913039
49534,80,159,D145590,DB00433,1,0.0078334820326432
86688,300,277,D607554,DB00661,1,0.788880676877962
40809,119,131,D168100,DB00376,1,0.101636129980661
72008,18,231,D110100,DB00571,1,0.875502328618344
112306,252,359,D304790,DB00860,1,0.0116160092058541
27587,43,89,D131200,DB00304,1,0.812528480761109
99298,77,318,D145100,DB00755,1,0.0331947542900085
48976,148,157,D190310,DB00424,1,0.0469205338360259
50345,265,161,D600351,DB00436,1,0.83134605097089
91669,273,293,D601042,DB00697,1,0.0243941963038257
13602,143,44,D188050,DB00208,1,0.0124271518122531
98682,87,316,D147530,DB00750,1,0.083732747622963
81468,88,261,D147540,DB00635,1,0.0383466668216802
158260,195,506,D237450,DB01174,1,0.056335673432825
115735,238,370,D270960,DB00882,1,0.000467054403335103
139691,93,447,D151400,DB01033,1,0.0711925817845665
147240,130,471,D178600,DB01088,1,0.0233821442313708
31722,109,102,D161900,DB00325,1,0.907066055166202
137360,266,439,D600496,DB01016,1,0.97215322838651
129,129,1,D176807,DB00007,1,0.120458472279748
62839,239,201,D273300,DB00515,1,0.0392023528223555
131886,113,422,D165720,DB00991,1,0.964689423338195
170101,142,544,D188030,DB01240,1,0.000216576285422218
97063,33,311,D125600,DB00741,1,0.0293913777612829
78071,134,250,D181000,DB00608,1,0.000173913985341744
95816,38,307,D125853,DB00731,1,0.967831731006321
162100,279,518,D601682,DB01194,1,0.945006070875267
113994,62,365,D137750,DB00869,1,0.980223715735513
158136,71,506,D143500,DB01174,1,0.0743272540273295
164246,234,525,D267730,DB01204,1,0.0615938791041968
130180,285,416,D604416,DB00982,1,0.0538691797329101
48902,74,157,D144110,DB00424,1,0.00343697555220302
182302,136,583,D181500,DB01623,1,0.0969883358630589
30464,103,98,D157300,DB00320,1,0.0818323743708821
16312,36,53,D125851,DB00222,1,0.974536927435772
29397,288,94,D605055,DB00313,1,0.739856420567335
183034,242,585,D276300,DB02546,1,0.0412113389575476
84597,87,271,D147530,DB00652,1,0.0653856922066352
97726,70,313,D143465,DB00745,1,0.0317235055396711
23693,218,76,D255900,DB00279,1,0.0457476272952736
72990,61,234,D137580,DB00575,1,0.0132748835528436
70972,234,227,D267730,DB00563,1,0.079315242291893
97506,163,312,D208550,DB00744,1,0.93782870324797
111044,242,355,D276300,DB00848,1,0.000394616461691443
85021,198,272,D239350,DB00653,1,0.0410732299409227
59423,266,190,D600496,DB00491,1,0.977437636542461
61741,80,198,D145590,DB00508,1,0.0088289376572346
139081,109,445,D161900,DB01029,1,0.893451768111231
50058,291,160,D606798,DB00434,1,0.0176507309013028
159333,16,510,D109543,DB01181,1,0.881014488439738
51783,138,166,D182280,DB00444,1,0.037538630347309
154862,240,495,D273800,DB01148,1,0.808373120932959
122192,122,391,D171300,DB00925,1,0.00901355643377928
147189,79,471,D145500,DB01088,1,0.000954881012618278
146402,231,468,D264120,DB01083,1,0.921863794332074
43851,31,141,D125310,DB00393,1,0.0358638974942373
143392,38,459,D125853,DB01067,1,0.972059330304045
150904,38,483,D125853,DB01120,1,0.0763132411315775
164141,129,525,D176807,DB01204,1,0.0010330183592447
96465,61,309,D137580,DB00734,1,0.0138671506726445
91330,247,292,D300125,DB00696,1,0.0319996895833855
7119,233,23,D266600,DB00169,1,0.00017686492469921
164289,277,525,D601626,DB01204,1,0.0738442912670509
107426,67,344,D140600,DB00814,1,0.889558564942124
262,262,1,D600082,DB00007,1,0.015914279337732
118266,265,378,D600351,DB00903,1,0.913840052149059
119878,312,383,D608583,DB00908,1,0.776116774191271
55244,156,177,D200170,DB00468,1,0.0110307829301398
114408,163,366,D208550,DB00871,1,0.954170850491876
