id,row,col,disease,drug,label,score
127554,163,408,D208550,DB00959,1,0.0418549993045796
47612,36,153,D125851,DB00414,1,0.98130847267323
143973,306,460,D607850,DB01068,1,0.838624263284266
8138,313,26,D608622,DB00177,1,0.889480729971329
140297,73,449,D144010,DB01039,1,0.0790338789143257
28412,242,91,D276300,DB00307,1,0.0512109101342786
8927,163,29,D208550,DB00180,1,0.904876159565816
84969,146,272,D189800,DB00653,1,0.00023827431165402
87672,32,281,D125320,DB00674,1,0.158577015411055
1599,34,6,D125700,DB00067,1,0.111080967924364
120182,303,384,D607681,DB00909,1,0.975731553510333
185275,292,592,D606842,DB06285,1,0.000368222387290323
29525,103,95,D157300,DB00315,1,0.127574184011835
22310,87,72,D147530,DB00273,1,0.00312392183861023
136222,67,436,D140600,DB01009,1,0.995220882730236
138972,313,444,D608622,DB01023,1,0.951021624436119
53610,87,172,D147530,DB00457,1,0.0567535305388268
118168,167,378,D210050,DB00903,1,0.0742815524772567
120227,35,385,D125850,DB00912,1,0.9738055154687
84467,270,270,D600807,DB00651,1,0.960440574369524
105590,109,338,D161900,DB00800,1,0.868975751910602
106639,219,341,D256370,DB00808,1,0.0377720256033105
41940,311,134,D608320,DB00381,1,0.000868623894137922
66685,16,214,D109543,DB00541,1,0.111807785624415
62842,242,201,D276300,DB00515,1,0.0482227518406782
31106,119,100,D168100,DB00323,1,0.901043957543745
39168,43,126,D131200,DB00367,1,0.132258490194215
183541,123,587,D173200,DB03904,1,0.0010439680472819
15584,247,50,D300125,DB00216,1,0.094102880489167
70534,109,226,D161900,DB00559,1,0.0356020051680303
139831,233,447,D266600,DB01033,1,0.0158125494529855
50991,285,163,D604416,DB00440,1,0.010174971985969
108183,198,346,D239350,DB00819,1,0.0301075967124337
50027,260,160,D312910,DB00434,1,0.717461046158408
21584,300,69,D607554,DB00264,1,0.0864630257837172
81573,193,261,D233810,DB00635,1,0.0353516569562557
104127,211,333,D252320,DB00788,1,0.0256017817292107
157548,109,504,D161900,DB01170,1,0.915161817110501
115940,130,371,D178600,DB00883,1,0.00131927080915399
15024,313,48,D608622,DB00214,1,0.883732680151042
174817,163,559,D208550,DB01291,1,0.93425743472145
159930,300,511,D607554,DB01182,1,0.0591719376963141
36015,20,116,D114480,DB00351,1,0.0153055242944913
72910,294,233,D607459,DB00573,1,0.962847833078731
94353,140,302,D184700,DB00717,1,0.0600419175195844
178935,212,572,D254200,DB01400,1,0.0671258938600108
30761,87,99,D147530,DB00321,1,0.0925178417320528
141070,220,451,D256700,DB01042,1,0.00980849487453
14873,162,48,D208300,DB00214,1,0.105071116955431
132506,107,424,D160300,DB00993,1,0.00126694714584507
118220,219,378,D256370,DB00903,1,0.790826141141352
27684,140,89,D184700,DB00304,1,0.0552090285248472
132592,193,424,D233810,DB00993,1,0.00244912676062234
164958,7,528,D104130,DB01216,1,0.00297511202819001
64165,313,205,D608622,DB00524,1,0.866628224929989
90927,157,291,D203700,DB00695,1,0.875234422839187
74788,294,239,D607459,DB00586,1,0.941819147913353
133355,17,427,D109800,DB00997,1,0.742320608431182
173127,38,554,D125853,DB01261,1,0.979957475359248
118906,279,380,D601682,DB00905,1,0.960261037737232
101805,80,326,D145590,DB00767,1,0.0163477870131616
12274,67,40,D140600,DB00201,1,0.0064628185289928
111983,242,358,D276300,DB00853,1,0.0663486957158136
133327,302,426,D607631,DB00996,1,0.871786529683582
120458,266,385,D600496,DB00912,1,0.976410609720988
88349,83,283,D146255,DB00678,1,0.000675775729142054
145161,242,464,D276300,DB01073,1,0.0864624655599731
144376,83,462,D146255,DB01070,1,0.0594986274197859
64252,87,206,D147530,DB00527,1,0.0535729512717934
143961,294,460,D607459,DB01068,1,0.838547301297641
25357,4,82,D102500,DB00286,1,0.0637207722102856
51365,33,165,D125600,DB00443,1,0.0292436232472583
86491,103,277,D157300,DB00661,1,7.8166200197038e-05
135066,163,432,D208550,DB01003,1,0.845660799192011
14886,175,48,D215140,DB00214,1,0.794358275643028
41708,79,134,D145500,DB00381,1,0.00398158917238865
25628,275,82,D601518,DB00286,1,0.0809844866227058
21205,234,68,D267730,DB00262,1,0.142018130534761
161821,313,517,D608622,DB01193,1,0.83703055626144
12179,285,39,D604416,DB00199,1,0.0244274309962929
166683,167,533,D210050,DB01223,1,0.107974243215905
124990,103,400,D157300,DB00945,1,0.0100761784083411
159556,239,510,D273300,DB01181,1,0.019573947315077
32469,230,104,D263800,DB00328,1,0.0114690143151715
95814,36,307,D125851,DB00731,1,0.981573835099917
67316,21,216,D114500,DB00544,1,0.0768057137807291
66623,267,213,D600631,DB00540,1,0.112024942911107
104589,47,335,D132100,DB00794,1,0.0395001719346786
125514,1,402,D102100,DB00949,1,0.00456490427623482
99106,198,317,D239350,DB00754,1,0.0620436332238585
111698,270,357,D600807,DB00852,1,0.173173541846597
6757,184,22,D225755,DB00167,1,0.0121895806773327
71163,112,228,D165199,DB00564,1,0.0125896461329422
50822,116,163,D166760,DB00440,1,0.0295505882932085
111335,220,356,D256700,DB00851,1,0.0020687089959248
123668,33,396,D125600,DB00936,1,0.000623981304899363
49903,136,160,D181500,DB00434,1,0.000720874876521887
156274,87,500,D147530,DB01162,1,0.0842346187115754
99315,94,318,D151590,DB00755,1,0.00598356069158952
117462,87,376,D147530,DB00899,1,0.0947745695358332
51839,194,166,D236000,DB00444,1,0.846506937413633
66946,277,214,D601626,DB00541,1,0.0704612611507409
74655,161,239,D208230,DB00586,1,0.942216047423751
158375,310,506,D608217,DB01174,1,0.0239625032304335
173124,35,554,D125850,DB01261,1,0.974577893100018
176084,178,563,D217200,DB01351,1,0.711724433477847
37014,80,119,D145590,DB00354,1,0.0880447327474936
43001,120,138,D168600,DB00387,1,0.834111408933201
98075,106,314,D158280,DB00747,1,0.0033831574023551
58211,306,186,D607850,DB00482,1,0.970994633309103
96588,184,309,D225755,DB00734,1,0.0198468792993247
33908,104,109,D157700,DB00335,1,0.771652255717727
90253,109,289,D161900,DB00692,1,0.832773530565712
9914,211,32,D252320,DB00186,1,0.039930009267012
144494,201,462,D241519,DB01070,1,0.0429756422088535
124978,91,400,D150600,DB00945,1,0.021435996850612
109871,8,352,D104300,DB00843,1,0.860872178671212
175128,161,560,D208230,DB01296,1,0.973451900890922
73403,161,235,D208230,DB00580,1,0.966761859008058
108250,265,346,D600351,DB00819,1,0.0696378888034257
116127,4,372,D102500,DB00884,1,0.759280577024441
143669,2,460,D102300,DB01068,1,0.0110262366220209
86980,279,278,D601682,DB00668,1,0.851002736568733
86700,312,277,D608583,DB00661,1,0.117017132568549
103226,249,330,D300491,DB00776,1,0.97233928946738
15207,183,49,D225740,DB00215,1,0.0348733589944807
44094,274,141,D601367,DB00393,1,0.0492985169875963
29245,136,94,D181500,DB00313,1,0.0026444660607012
88902,10,285,D107320,DB00682,1,0.0122743946492456
7473,274,24,D601367,DB00175,1,7.06790304388597e-05
176845,313,565,D608622,DB01359,1,0.865661671619905
123458,136,395,D181500,DB00933,1,0.0760018105178718
133311,286,426,D604827,DB00996,1,0.847794173388781
32443,204,104,D246400,DB00328,1,0.00491282462273819
29117,8,94,D104300,DB00313,1,0.706744668678103
15440,103,50,D157300,DB00216,1,0.0842378022065393
3243,113,11,D165720,DB00122,1,0.981163136632895
46467,143,149,D188050,DB00407,1,0.0592730530318588
139055,83,445,D146255,DB01029,1,0.00306363318503315
14057,285,45,D604416,DB00210,1,0.0264150426794993
45389,4,146,D102500,DB00399,1,0.107848592776912
81465,85,261,D146850,DB00635,1,0.0384443768645835
85625,176,274,D215470,DB00655,1,0.069572153070112
92280,258,295,D310468,DB00706,1,0.000109712064535528
30441,80,98,D145590,DB00320,1,0.002896282549032
160592,23,514,D114580,DB01188,1,0.00163731057366827
93122,161,298,D208230,DB00712,1,0.948033025996702
94256,43,302,D131200,DB00717,1,0.759297358234113
141876,87,454,D147530,DB01050,1,0.0635601791789918
60835,113,195,D165720,DB00500,1,0.964042049958782
133492,154,427,D194070,DB00997,1,0.0681930505040272
162843,83,521,D146255,DB01197,1,0.0479168107191867
163803,104,524,D157700,DB01203,1,0.772769390810549
50255,175,161,D215140,DB00436,1,0.925653072874291
