id,row,col,disease,drug,label,score
12310,103,40,D157300,DB00201,1,0.0103973901458606
12857,24,42,D115000,DB00204,1,0.0454588659623701
131092,258,419,D310468,DB00988,1,0.000243382961359043
19125,32,62,D125320,DB00245,1,0.0766853272328528
125181,294,400,D607459,DB00945,1,0.944118456217685
169202,182,541,D223350,DB01234,1,0.0391739607578328
1505,253,5,D304900,DB00035,1,0.111850387748111
52962,65,170,D138800,DB00451,1,0.806774496509132
32352,113,104,D165720,DB00328,1,0.956734942361164
52286,15,168,D109350,DB00448,1,0.143976557832991
25505,152,82,D192000,DB00286,1,0.00991481930919238
181791,251,581,D303110,DB01579,1,0.866545694597772
86764,63,278,D137760,DB00668,1,0.776438172456928
100424,264,321,D600263,DB00759,1,0.0050183181552922
145126,207,464,D247640,DB01073,1,0.876286752595946
116238,115,372,D166710,DB00884,1,0.868895467554337
71871,194,230,D236000,DB00570,1,0.0482225528372736
116593,157,373,D203700,DB00887,1,0.0602778959865715
62617,17,201,D109800,DB00515,1,0.0588853950930044
69599,113,223,D165720,DB00554,1,0.958309881085581
22849,313,73,D608622,DB00275,1,0.87483964213239
133288,263,426,D600131,DB00996,1,0.894689714631012
59195,38,190,D125853,DB00491,1,0.983252629710064
103281,304,330,D607682,DB00776,1,0.948110786179266
147809,73,473,D144010,DB01098,1,0.112931571080388
71053,2,228,D102300,DB00564,1,0.00429397797917595
108163,178,346,D217200,DB00819,1,0.0495321245023586
38322,136,123,D181500,DB00363,1,0.109910380788068
154083,87,493,D147530,DB01142,1,0.0667675569677929
52647,63,169,D137760,DB00449,1,0.929761602350929
85245,109,273,D161900,DB00654,1,0.0954980422601643
15068,44,49,D131300,DB00215,1,0.0409715004777616
67091,109,215,D161900,DB00542,1,0.898850252365211
136316,161,436,D208230,DB01009,1,0.963196745936524
120142,263,384,D600131,DB00909,1,0.961553194807811
62367,80,200,D145590,DB00514,1,0.00706871579361763
90842,72,291,D143880,DB00695,1,0.000458368727874113
139007,35,445,D125850,DB01029,1,0.861173624388125
5209,201,17,D241519,DB00153,1,0.0604730910991481
22223,313,71,D608622,DB00270,1,0.893156966929488
90734,277,290,D601626,DB00694,1,0.113221886134378
58962,118,189,D167870,DB00490,1,0.00573020180757844
33028,163,106,D208550,DB00332,1,0.902333049305421
104720,178,335,D217200,DB00794,1,0.105892382307006
137790,70,441,D143465,DB01018,1,0.00726550168190747
81274,207,260,D247640,DB00631,1,0.0320531285110349
72931,2,234,D102300,DB00575,1,0.000701285402152834
145153,234,464,D267730,DB01073,1,0.107063726561258
1973,95,7,D152700,DB00091,1,0.0134018754887195
10761,119,35,D168100,DB00190,1,0.95383774144776
184113,69,589,D143100,DB04844,1,0.000766026706677705
86971,270,278,D600807,DB00668,1,0.15788106039253
77785,161,249,D208230,DB00605,1,0.995414841770006
98443,161,315,D208230,DB00749,1,0.958164286011412
35369,313,113,D608622,DB00343,1,0.883532016060357
146884,87,470,D147530,DB01086,1,0.074198055125957
51827,182,166,D223350,DB00444,1,0.0465222554699838
5252,244,17,D277440,DB00153,1,0.0303239749098176
15636,299,50,D607516,DB00216,1,0.109741915752963
100445,285,321,D604416,DB00759,1,0.015305619994938
68519,285,219,D604416,DB00548,1,0.0364767956429687
169782,136,543,D181500,DB01238,1,0.100485859380224
132565,166,424,D208920,DB00993,1,0.0189274289554419
94948,109,304,D161900,DB00722,1,0.862342910341704
111736,308,357,D608088,DB00852,1,0.012464612839214
80871,117,259,D167320,DB00630,1,0.0866002938702814
113927,308,364,D608088,DB00868,1,0.00277084161398363
15030,6,49,D103780,DB00215,1,0.000375367060884181
108187,202,346,D243200,DB00819,1,0.000427512377407849
156836,23,502,D114580,DB01167,1,0.00445402075997667
97980,11,314,D107550,DB00747,1,0.00429724497386302
104777,235,335,D267740,DB00794,1,0.90291048362145
21186,215,68,D254500,DB00262,1,0.00329268444919462
155005,70,496,D143465,DB01151,1,0.0384588145850875
133329,304,426,D607682,DB00996,1,0.884626320408535
125220,20,401,D114480,DB00947,1,0.0727689350032722
82474,155,264,D194200,DB00640,1,0.00265817988217424
94063,163,301,D208550,DB00716,1,0.912952746730536
55881,167,179,D210050,DB00471,1,0.0436210821757164
165388,124,529,D174800,DB01217,1,0.0089975461505903
76221,162,244,D208300,DB00594,1,0.0962525550880622
165038,87,528,D147530,DB01216,1,0.0254901999348313
87365,38,280,D125853,DB00672,1,0.975338476648226
60789,67,195,D140600,DB00500,1,0.915782338522643
48311,109,155,D161900,DB00421,1,0.0507341370112253
170497,225,545,D260480,DB01241,1,0.00430898972349318
21178,207,68,D247640,DB00262,1,0.110047244594877
139285,313,445,D608622,DB01029,1,0.91629790484768
163073,313,521,D608622,DB01197,1,0.928572393252658
85415,279,273,D601682,DB00654,1,0.907431881146386
97714,58,313,D136200,DB00745,1,0.00518220190566592
57972,67,186,D140600,DB00482,1,0.182990580704631
89914,83,288,D146255,DB00691,1,0.0733130855502688
14169,84,46,D146500,DB00211,1,0.0258892845663281
62820,220,201,D256700,DB00515,1,0.00777411824575725
47611,35,153,D125850,DB00414,1,0.977901249139604
160376,120,513,D168600,DB01186,1,0.122443538580118
70943,205,227,D246470,DB00563,1,0.0481481861518855
58199,294,186,D607459,DB00482,1,0.945998753934057
36585,277,117,D601626,DB00352,1,0.00563814117881939
52200,242,167,D276300,DB00445,1,0.0347049816299993
98395,113,315,D165720,DB00749,1,0.955190386256667
87362,35,280,D125850,DB00672,1,0.971678438370384
24765,38,80,D125853,DB00284,1,0.983597362385279
74561,67,239,D140600,DB00586,1,0.179642613297598
9821,118,32,D167870,DB00186,1,0.0490350524553355
151530,38,485,D125853,DB01124,1,0.983277415093088
180909,308,578,D608088,DB01551,1,0.0265896927321663
79279,90,254,D148100,DB00620,1,0.00611037957129726
93267,306,298,D607850,DB00712,1,0.956025995889668
54862,87,176,D147530,DB00465,1,0.0614110458171081
184375,18,590,D110100,DB04861,1,0.0411176868724895
110151,288,352,D605055,DB00843,1,0.902802473143113
116611,175,373,D215140,DB00887,1,0.967021519137785
91083,313,291,D608622,DB00695,1,0.231286481389462
118158,157,378,D203700,DB00903,1,0.0515177171652674
24417,3,79,D102400,DB00282,1,0.0124476919879478
3436,306,11,D607850,DB00122,1,0.978653402598412
164051,39,525,D126200,DB01204,1,0.000145781574268164
61748,87,198,D147530,DB00508,1,0.0191364627420541
88375,109,283,D161900,DB00678,1,0.90332326227515
11643,62,38,D137750,DB00195,1,0.0354350791584821
122968,272,393,D601004,DB00928,1,0.0400825983684285
133968,4,429,D102500,DB00999,1,9.31968822085693e-05
