id,row,col,disease,drug,label,score
76168,109,244,D161900,DB00594,1,0.84255867506827
17327,112,56,D165199,DB00230,1,0.0268337872399534
65990,260,211,D312910,DB00536,1,0.0106039266686834
108071,86,346,D147480,DB00819,1,0.000572987379144581
42585,17,137,D109800,DB00385,1,0.00633010416548044
109025,101,349,D156000,DB00829,1,0.000540706820173538
111841,100,358,D155601,DB00853,1,0.62607192601452
61266,231,196,D264120,DB00501,1,3.63235398733194e-05
175261,294,560,D607459,DB01296,1,0.972095678477407
87593,266,280,D600496,DB00672,1,0.97425196325461
171211,313,547,D608622,DB01244,1,0.830602811344461
132541,142,424,D188030,DB00993,1,0.0108464254086256
66474,118,213,D167870,DB00540,1,0.0349694633827426
164965,14,528,D109200,DB01216,1,0.0180184963937081
35689,7,115,D104130,DB00350,1,0.000130685722484347
111351,236,356,D268220,DB00851,1,0.0150322546015289
132438,39,424,D126200,DB00993,1,0.00167878217544781
177993,209,569,D249100,DB01394,1,0.00139811180713337
103996,80,333,D145590,DB00788,1,0.0378846342144198
35525,156,114,D200170,DB00346,1,0.117954381270537
80758,4,259,D102500,DB00630,1,0.134089370578624
11206,251,36,D303110,DB00191,1,0.936642395074389
125048,161,400,D208230,DB00945,1,0.937150318172035
61484,136,197,D181500,DB00502,1,0.0732396399888022
130703,182,418,D223350,DB00987,1,0.0525800593305476
143734,67,460,D140600,DB01068,1,0.112017750371432
157908,156,505,D200170,DB01173,1,0.0228390524387551
127479,88,408,D147540,DB00959,1,0.0586355001583322
155022,87,496,D147530,DB01151,1,0.100223830809165
106733,313,341,D608622,DB00808,1,0.948949835152614
114871,313,367,D608622,DB00876,1,0.851538369136252
27285,54,88,D134510,DB00302,1,0.0562064113525017
49786,19,160,D113610,DB00434,1,0.0126177883499552
79352,163,254,D208550,DB00620,1,0.0467059718985433
164565,240,526,D273800,DB01210,1,0.727699701864334
35165,109,113,D161900,DB00343,1,0.908228461039785
10125,109,33,D161900,DB00187,1,0.842996443999013
91552,156,293,D200170,DB00697,1,0.032329819522091
29109,313,93,D608622,DB00310,1,0.799754569901642
39277,152,126,D192000,DB00367,1,0.788548274288854
9370,293,30,D607225,DB00181,1,0.0196643043694396
115825,15,371,D109350,DB00883,1,0.0334921558270545
42913,32,138,D125320,DB00387,1,0.0732480821888453
15635,298,50,D607508,DB00216,1,0.0707759671962241
171907,70,550,D143465,DB01255,1,0.0644373505500181
5660,26,19,D115300,DB00162,1,0.668053322481764
45037,278,144,D601665,DB00397,1,0.856196932816988
157093,280,502,D602068,DB01167,1,0.000226329571976359
90384,240,289,D273800,DB00692,1,0.741388322270673
100220,60,321,D137400,DB00759,1,0.00117880775147981
3624,181,12,D220120,DB00125,1,0.000867460464269143
17213,311,55,D608320,DB00227,1,0.00194802136588535
18709,242,60,D276300,DB00242,1,0.0340982321282712
106852,119,342,D168100,DB00810,1,0.0983016419241864
62996,83,202,D146255,DB00519,1,0.0834111808978429
51095,76,164,D144700,DB00441,1,0.778484931464908
152105,300,486,D607554,DB01125,1,0.000160839760105672
104690,148,335,D190310,DB00794,1,0.0046098754679602
178828,105,572,D157950,DB01400,1,0.00575460734315051
18506,39,60,D126200,DB00242,1,0.00124519846965248
89729,211,287,D252320,DB00687,1,9.62635155580068e-05
156449,262,500,D600082,DB01162,1,0.115069810483622
121531,87,389,D147530,DB00921,1,0.0861398932316615
72303,313,231,D608622,DB00571,1,0.898190758816659
165851,274,530,D601367,DB01219,1,0.0635506734543325
145101,182,464,D223350,DB01073,1,0.0116694647996939
72489,186,232,D226150,DB00572,1,0.0541799776333062
54107,271,173,D600808,DB00458,1,0.100285531902214
79284,95,254,D152700,DB00620,1,0.0220376671499338
23812,24,77,D115000,DB00280,1,0.0565774534052824
48377,175,155,D215140,DB00421,1,0.871189945975318
130798,277,418,D601626,DB00987,1,0.0641128941529133
97668,12,313,D107650,DB00745,1,0.00639839059967246
175458,178,561,D217200,DB01320,1,0.819568322268131
143204,163,458,D208550,DB01064,1,0.846933489999902
84863,40,272,D127350,DB00653,1,0.00271770827181402
87261,247,279,D300125,DB00669,1,0.0497904485851282
2682,178,9,D217200,DB00114,1,0.773541767262822
32521,282,104,D602522,DB00328,1,0.0101852654213675
79301,112,254,D165199,DB00620,1,0.000300159550797767
146145,287,467,D605021,DB01080,1,0.00760561302474384
